,record_date,power_consumption,t_max,t_min,weather_type_中到大雨~中雨,weather_type_中到大雨~小雨,weather_type_中到大雨~暴雨,weather_type_中到大雨~阴,weather_type_中到大雨转小雨,weather_type_中雨,weather_type_中雨~中到大雨,weather_type_中雨~多云,weather_type_中雨~大雨,weather_type_中雨~小雨,weather_type_中雨~阴,weather_type_中雨~雷阵雨,weather_type_中雨转阵雨,weather_type_中雨转雷阵雨,weather_type_多云,weather_type_多云~,weather_type_多云~中雨,weather_type_多云~小到中雨,weather_type_多云~小雨,weather_type_多云~晴,weather_type_多云~阴,weather_type_多云~阵雨,weather_type_多云~雷阵雨,weather_type_多云~雷雨,weather_type_多云转小雨,weather_type_多云转晴,weather_type_多云转阴,weather_type_多云转雷阵雨,weather_type_大到暴雨,weather_type_大到暴雨~阴,weather_type_大雨~大到暴雨,weather_type_大雨~小雨,weather_type_大雨~暴雨,weather_type_大雨~雷雨,weather_type_大雨转小到中雨,weather_type_大雪,weather_type_小到中雨~多云,weather_type_小到中雨~大雨,weather_type_小到中雨~小雨,weather_type_小到中雨~阴,weather_type_小到中雨~雷阵雨,weather_type_小到中雨转中到大雨,weather_type_小到中雨转多云,weather_type_小到中雨转小雨,weather_type_小雨,weather_type_小雨~中到大雨,weather_type_小雨~多云,weather_type_小雨~小到中雨,weather_type_小雨~阴,weather_type_小雨转多云,weather_type_小雨转小到中雨,weather_type_小雨转阴,weather_type_小雨转雨夹雪,weather_type_小雪,weather_type_小雪~阴,weather_type_小雪转阴,weather_type_晴,weather_type_晴~,weather_type_晴~多云,weather_type_晴转多云,weather_type_晴转阴,weather_type_暴雨,weather_type_暴雨~大雨,weather_type_暴雨~小到中雨,weather_type_阴,weather_type_阴~,weather_type_阴~中到大雪,weather_type_阴~中雨,weather_type_阴~多云,weather_type_阴~大雨,weather_type_阴~小到中雨,weather_type_阴~小雨,weather_type_阴~晴,weather_type_阴~阵雨,weather_type_阴~雷阵雨,weather_type_阴转中雨,weather_type_阴转多云,weather_type_阴转小到中雨,weather_type_阴转小雨,weather_type_阴转晴,weather_type_阴转阵雨,weather_type_阴转雨夹雪,weather_type_阴转雷阵雨,weather_type_阵雨,weather_type_阵雨~中到大雨,weather_type_阵雨~中雨,weather_type_阵雨~多云,weather_type_阵雨~小雨,weather_type_阵雨~阴,weather_type_雨夹雪,weather_type_雨夹雪~阴,weather_type_雨夹雪转阴,weather_type_雷阵雨,weather_type_雷阵雨~中雨,weather_type_雷阵雨~多云,weather_type_雷阵雨~大到暴雨,weather_type_雷阵雨~小到中雨,weather_type_雷阵雨~阴,weather_type_雷阵雨转多云,weather_type_雷雨,weather_type_雷雨~大雨,wind_direction_3-4级,wind_direction_东北风,wind_direction_东南风,wind_direction_东风,wind_direction_北风,wind_direction_南风,wind_direction_无持续风向,wind_direction_暂无实况,wind_direction_西北风,wind_direction_西南风,wind_direction_西风,wind_leve_1级,wind_leve_2级,wind_leve_3-4级,wind_leve_3-4级转4-5级,wind_leve_3-4级转小于3级,wind_leve_3级,wind_leve_4-5级,wind_leve_4-5级转3-4级,wind_leve_4-5级转小于3级,wind_leve_5-6级,wind_leve_5-6级转3-4级,wind_leve_5-6级转4-5级,wind_leve_小于3级,wind_leve_小于3级转3-4级,wind_leve_小于3级转4-5级,wind_leve_微风,dow,dom,month,year,weekend,weekend_sat,weekend_sun,week_of_month,period_of_month,period2_of_month,festival,power1,power2,power3
0,2015-01-01,2900575.0,8,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,2015,0,0,0,1,1,1,0,2900575.0,2900575.0,2900575.0
1,2015-01-02,3158211.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,1,2015,0,0,0,1,1,1,0,2900575.0,3158211.0,3158211.0
2,2015-01-03,3596487.0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3,1,2015,1,1,0,1,1,1,0,3158211.0,2900575.0,3596487.0
3,2015-01-04,3939672.0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,2015,1,0,1,1,1,1,0,3596487.0,3158211.0,2900575.0
4,2015-01-05,4101790.0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,2015,0,0,0,1,1,1,0,3939672.0,3596487.0,3158211.0
5,2015-01-06,4149164.0,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,1,2015,0,0,0,1,1,1,0,4101790.0,3939672.0,3596487.0
6,2015-01-07,4161928.0,7,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,1,2015,0,0,0,1,1,1,0,4149164.0,4101790.0,3939672.0
7,2015-01-08,4182622.0,12,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,8,1,2015,0,0,0,2,1,1,0,4161928.0,4149164.0,4101790.0
8,2015-01-09,4153509.0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,9,1,2015,0,0,0,2,1,1,0,4182622.0,4161928.0,4149164.0
9,2015-01-10,3913704.0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,10,1,2015,1,1,0,2,1,1,0,4153509.0,4182622.0,4161928.0
